,Point,Explanation,English,SentenceJapanese,Hint,SentenceCloze,ClozeAnswer,SentenceEnglish
10101,Noun ｛で/から｝できる,"｛で/から｝できる　means ""to be made of/from/out of."" から indicates that the material(s) from which something is made is not immediately obvious. できる is used in generic statements while できている is used when describing something specific",～でできる= be made of; be made out of  ～からできる = be made from,チーズやヨーグルトは牛乳からできます,be made of/made from milk,チーズやヨーグルトは{},牛乳からできます,Cheese and yoghurt are made from milk
10102,Noun ｛で/から｝できる,"｛で/から｝できる　means ""to be made of/from/out of."" から indicates that the material(s) from which something is made is not immediately obvious. できる is used in generic statements while できている is used when describing something specific",～でできる= be made of; be made out of  ～からできる = be made from,この皿はプラスチックで、そして、このコップは紙でできている,be made of/made from paper,この皿はプラスチックで、そして、このコップは{},紙でできている,This dish is plastic and this cup is made of paper.
10103,Noun ｛で/から｝できる,"｛で/から｝できる　means ""to be made of/from/out of."" から indicates that the material(s) from which something is made is not immediately obvious. できる is used in generic statements while できている is used when describing something specific",～でできる= be made of; be made out of  ～からできる = be made from,日本には木でできた家が多いが、この国の家はたいてい石でできている,"made of wood, made of stone",日本には{}家が多いが、この国の家はたいてい{},木でできた/石でできている,"There are many houses made of wood in Japan, but in this country the houses are usually made of stone."
10201,Adjective-stem + さ,The suffix さ is attached to the stem of an i-adjective or a na-adjective to form a noun,-ness; -ty,この荷物の重さは何キロくらいでしょうか,weight,この荷物の{}は何キロくらいでしょうか,重さ,What is probably the approximate weight of this luggage?
10202,Adjective-stem + さ,The suffix さ is attached to the stem of an i-adjective or a na-adjective to form a noun,-ness; -ty,富士山の高さは３７７６メートルです,height,富士山の{}は３７７６メートルです,高さ,The height of Mt. Fuji is 3776 meters.
10203,Adjective-stem + さ,The suffix さ is attached to the stem of an i-adjective or a na-adjective to form a noun,-ness; -ty,この話のよさがわからない人はいないと思います,speachiness??,この話の{}がわからない人はいないと思います,よさ,I do not think anyone does not understand this story.
10301,{Noun の/ Verb} ように,"ように is used when (1) X resembles Y, (2) when X is as Y shows, says, explains, etc., or (3) when X does something as shown.said/explained/etc. in/by Y",like; as; as if,これはチョコレートのように見えるけれど、消しゴムだから、食べられませんよ。,chocolate seeming,これは{}見えるけれど、消しゴムだから、食べられませんよ。,チョコレートのように,This looks like chocolate but it's an eraser so you can't eat it
10302,{Noun の/ Verb} ように,"ように is used when (1) X resembles Y, (2) when X is as Y shows, says, explains, etc., or (3) when X does something as shown.said/explained/etc. in/by Y",like; as; as if,小さいネコの声は、赤ちゃんが泣いているように聞こえます,crying-seeming,小さいネコの声は、赤ちゃんが{}聞こえます,泣いているように,The sound of a small cat's voice resembles a baby crying.
10303,{Noun の/ Verb} ように,"ように is used when (1) X resembles Y, (2) when X is as Y shows, says, explains, etc., or (3) when X does something as shown.said/explained/etc. in/by Y",like; as; as if,先生がおっしゃるように、言葉は毎日勉強しなければ上手にならないと思います,like the teacher said,先生がおっしゃるように、言葉は毎日勉強しなければ上手にならないと思います,おっしゃるように,"Like the teacher said, you won't become skilled if you don't study the words every day."
10401,～は～で～ {有名だ/知られている},Either a noun or a sentence (S+こと) occurs before で to state what X is famous for or the reason that X is famous,X is famous for Y; X is known because of Y,エジプトはピラミッドやスフィンクスで有名です,is famous for spinges,エジプトはピラミッドや{},スフィンクスで有名です,Egypt is famous for pyramids and sphinges
10402,～は～で～ {有名だ/知られている},Either a noun or a sentence (S+こと) occurs before で to state what X is famous for or the reason that X is famous,X is famous for Y; X is known because of Y,このお寺は古い桜の木があることで有名だ,is famous/known for having old cherry blossem trees,このお寺は{},古い桜の木があることで有名だ,This temple is famous for having old cherry blossom trees.
10403,～は～で～ {有名だ/知られている},Either a noun or a sentence (S+こと) occurs before で to state what X is famous for or the reason that X is famous,X is famous for Y; X is known because of Y,熊は冬眠することで知られていますが、動物園の熊も冬眠をしますか？,known for hybernating,熊は{}が、動物園の熊も冬眠をしますか？,冬眠することで知られています,"Bears are known for hibernating, but will zoo bears also hibernate?"
10501,Verb-masu; i-Adjective-stem + く (NECKTIE),"The masu stem of a verb and the stem of an i-adjective + く indicate that the sentence is continuing.  THat is, they function like the English sentence connect ""and."" This use is generally restricted to written language. In spoken language the te-form of a verb or an i-adjective is commonly used.",and,昨日は友達とレストランで晩御飯を食べ、その後、映画を見に行った,eat and,昨日は友達とレストランで晩御飯を{}、その後、映画を見に行った,食べ,I had dinner at a restaurant with my friend yesterday and then went and saw a movie.
10502,Verb-masu; i-Adjective-stem + く (NECKTIE),"The masu stem of a verb and the stem of an i-adjective + く indicate that the sentence is continuing.  THat is, they function like the English sentence connect ""and."" This use is generally restricted to written language. In spoken language the te-form of a verb or an i-adjective is commonly used.",and,スミスさんは昼は大学で勉強し、夜は病院で掃除のアルバイトをしている。,study and,スミスさんは昼は大学で{}、夜は病院で掃除のアルバイトをしている。,勉強し,Mr. Smith studies at the university during the day and is working part-time at the hospital at night.
